job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,posting_date,application_deadline,company_name,industry,benefits_score
Ai Product Manager,183029,Executive-Level,Freelance,ISRAEL,Small,Fully remote,"scala, tensorflow, tableau, mlops, kubernetes",Bachelor,19,05-01-2024,23-01-2024,Machine Intelligence Group,Manufacturing,6.7
Ai Product Manager,114370,Mid-Level,Freelance,NETHERLANDS,Medium,Hybrid,"linux, kubernetes, statistics, python",Master,4,19-02-2025,14-03-2025,AI Innovations,Retail,8.5
Head Of Ai,54599,Mid-Level,Contract,CHINA,Large,Fully remote,"statistics, docker, python",Bachelor,2,23-04-2024,02-07-2024,Cloud AI Solutions,Gaming,6.1
Ai Consultant,149215,Executive-Level,Contract,GERMANY,Small,Fully remote,"tensorflow, deep learning, computer vision, tableau, sql",PhD,12,30-09-2024,10-11-2024,AI Innovations,Technology,7
Data Analyst,36117,Mid-Level,Full-Time,CHINA,Small,on-site,"python, azure, sql, r, mathematics",PhD,2,03-06-2024,28-07-2024,Cognitive Computing,Consulting,5.4
Nlp Engineer,58126,Entry-Level,Part-Time,AUSTRIA,Large,Fully remote,"python, sql, tableau, aws, kubernetes",Master,0,17-03-2025,04-05-2025,Advanced Robotics,Finance,5.7
Ai Specialist,72607,Mid-Level,Contract,AUSTRALIA,Medium,on-site,"python, tensorflow, aws",Master,2,11-02-2025,01-03-2025,TechCorp Inc,Real Estate,7.4
Data Analyst,71757,Mid-Level,Freelance,CANADA,Small,on-site,"statistics, pytorch, computer vision, r, git",Master,2,01-03-2024,26-04-2024,Future Systems,Media,6.5
Deep Learning Engineer,105689,Senior-Level,Freelance,GERMANY,Medium,Hybrid,"r, kubernetes, mathematics, nlp",Master,9,28-11-2024,13-01-2025,Quantum Computing Inc,Real Estate,5.1
Head Of Ai,42540,Mid-Level,Freelance,INDIA,Large,Fully remote,"python, data visualization, r, spark, java",PhD,2,08-03-2024,06-04-2024,Digital Transformation LLC,Healthcare,5.5
Ai Architect,123577,Executive-Level,Full-Time,AUSTRIA,Small,on-site,"python, r, nlp",PhD,12,17-10-2024,03-12-2024,Machine Intelligence Group,Government,6.6
Ai Architect,236155,Executive-Level,Full-Time,CANADA,Large,on-site,"scala, spark, sql",Master,16,16-08-2024,26-09-2024,TechCorp Inc,Retail,5
Machine Learning Engineer,70398,Entry-Level,Contract,AUSTRIA,Large,Fully remote,"pytorch, spark, sql, mathematics",Master,1,24-09-2024,20-11-2024,Machine Intelligence Group,Healthcare,8
Data Scientist,146441,Executive-Level,Full-Time,ISRAEL,Small,Fully remote,"aws, scala, data visualization, java",Master,18,13-11-2024,30-11-2024,Machine Intelligence Group,Technology,8.3
Ai Specialist,47127,Senior-Level,Contract,INDIA,Medium,on-site,"statistics, azure, git",PhD,6,31-01-2025,17-03-2025,Algorithmic Solutions,Finance,8
Ai Product Manager,142445,Executive-Level,Full-Time,AUSTRIA,Medium,on-site,"java, tableau, docker, statistics",Master,10,10-05-2024,08-06-2024,Advanced Robotics,Telecommunications,7.5
Ai Consultant,67586,Senior-Level,Freelance,CHINA,Medium,on-site,"mathematics, mlops, python, pytorch, tableau",PhD,9,26-04-2025,04-06-2025,Smart Analytics,Automotive,5.5
Research Scientist,176023,Senior-Level,Freelance,DENMARK,Small,on-site,"azure, sql, python, kubernetes, deep learning",PhD,6,26-07-2024,18-09-2024,Advanced Robotics,Real Estate,6.7
Machine Learning Engineer,21634,Entry-Level,Full-Time,CHINA,Small,Fully remote,"azure, sql, r, mathematics",Associate,1,26-09-2024,04-12-2024,Digital Transformation LLC,Consulting,9.1
Ml Ops Engineer,105516,Senior-Level,Full-Time,SOUTH KOREA,Small,Hybrid,"azure, sql, gcp",Associate,9,31-07-2024,27-08-2024,Digital Transformation LLC,Technology,7.3
Research Scientist,144381,Executive-Level,Part-Time,IRELAND,Medium,on-site,"r, sql, docker",PhD,17,27-03-2024,28-04-2024,Advanced Robotics,Telecommunications,9
Deep Learning Engineer,76971,Mid-Level,Full-Time,ISRAEL,Small,on-site,"python, scala, deep learning",Associate,3,08-07-2024,26-07-2024,DeepTech Ventures,Automotive,6.3
Ai Research Scientist,69347,Senior-Level,Freelance,CHINA,Large,Hybrid,"data visualization, computer vision, tensorflow",Associate,6,16-09-2024,29-10-2024,Smart Analytics,Retail,5.3
Ml Ops Engineer,63587,Entry-Level,Contract,JAPAN,Small,Hybrid,"computer vision, pytorch, kubernetes, java, spark",Master,1,01-01-2025,12-03-2025,Advanced Robotics,Finance,9.2
Ai Consultant,159882,Senior-Level,Contract,GERMANY,Large,Hybrid,"pytorch, tableau, r, data visualization",Bachelor,9,26-11-2024,30-01-2025,Predictive Systems,Media,6
Head Of Ai,63760,Entry-Level,Full-Time,IRELAND,Medium,Fully remote,"kubernetes, python, tableau",Master,0,18-12-2024,06-02-2025,Algorithmic Solutions,Telecommunications,9.6
Ai Software Engineer,91323,Mid-Level,Contract,JAPAN,Small,on-site,"linux, aws, python",Bachelor,3,02-01-2025,10-03-2025,DataVision Ltd,Healthcare,5.1
Principal Data Scientist,95852,Mid-Level,Contract,SINGAPORE,Small,Fully remote,"tensorflow, azure, git",Associate,2,18-04-2024,02-06-2024,Autonomous Tech,Media,9.5
Ai Research Scientist,142643,Executive-Level,Full-Time,IRELAND,Medium,Hybrid,"data visualization, statistics, linux",PhD,19,19-09-2024,09-11-2024,Advanced Robotics,Telecommunications,8.6
Ai Research Scientist,183011,Executive-Level,Part-Time,FINLAND,Small,Fully remote,"sql, mlops, tensorflow, aws",Bachelor,18,01-01-2025,23-02-2025,Quantum Computing Inc,Education,5.2
Ai Product Manager,60370,Entry-Level,Part-Time,UNITED STATES,Small,Hybrid,"nlp, r, linux, sql",PhD,0,24-01-2024,07-03-2024,Future Systems,Technology,9.5
Ai Software Engineer,276912.875,Executive-Level,Contract,JAPAN,Large,Hybrid,"git, sql, computer vision, mathematics",PhD,13,26-07-2024,22-08-2024,Neural Networks Co,Media,7.8
Nlp Engineer,89935,Entry-Level,Contract,JAPAN,Large,Fully remote,"mlops, python, computer vision, spark",Master,0,12-10-2024,04-11-2024,Future Systems,Government,8.7
Data Analyst,94666,Entry-Level,Contract,SWITZERLAND,Large,Hybrid,"scala, tableau, aws, computer vision, tensorflow",PhD,0,28-04-2024,24-05-2024,Neural Networks Co,Media,6.1
Machine Learning Engineer,86209,Entry-Level,Contract,UNITED STATES,Medium,on-site,"hadoop, linux, sql, nlp, kubernetes",Bachelor,0,12-01-2025,01-03-2025,Digital Transformation LLC,Real Estate,8
Machine Learning Engineer,81814,Entry-Level,Full-Time,UNITED KINGDOM,Medium,on-site,"linux, azure, scala",Associate,1,22-11-2024,06-12-2024,Predictive Systems,Real Estate,8.5
Data Engineer,122880,Senior-Level,Full-Time,AUSTRIA,Small,Hybrid,"scala, python, data visualization, deep learning, tensorflow",PhD,5,02-03-2024,08-05-2024,Smart Analytics,Transportation,5.3
Data Analyst,161377,Senior-Level,Part-Time,SWITZERLAND,Medium,on-site,"linux, spark, tensorflow, python, tableau",Associate,5,20-02-2025,31-03-2025,Quantum Computing Inc,Government,9.9
Ai Consultant,64242,Entry-Level,Freelance,JAPAN,Small,on-site,"computer vision, kubernetes, sql",Bachelor,1,25-09-2024,14-11-2024,DeepTech Ventures,Real Estate,6
Robotics Engineer,142995,Senior-Level,Contract,NETHERLANDS,Medium,Hybrid,"computer vision, statistics, kubernetes",Bachelor,5,26-08-2024,05-10-2024,Autonomous Tech,Government,7.9
Autonomous Systems Engineer,108977,Senior-Level,Part-Time,CANADA,Small,Hybrid,"azure, computer vision, nlp, sql, mathematics",PhD,7,17-04-2025,25-06-2025,Predictive Systems,Education,5.4
Deep Learning Engineer,32809,Entry-Level,Part-Time,CHINA,Medium,Hybrid,"statistics, python, tableau, docker, aws",Bachelor,1,22-01-2025,08-03-2025,Machine Intelligence Group,Transportation,5.1
Computer Vision Engineer,236299,Executive-Level,Part-Time,UNITED KINGDOM,Large,on-site,"pytorch, sql, data visualization, hadoop",Bachelor,13,20-05-2024,28-07-2024,Future Systems,Automotive,9.6
Machine Learning Engineer,133957,Mid-Level,Contract,NORWAY,Medium,Fully remote,"tableau, kubernetes, python, deep learning, azure",Bachelor,3,29-04-2024,29-05-2024,AI Innovations,Transportation,8.3
Data Scientist,62909,Entry-Level,Part-Time,UNITED KINGDOM,Large,on-site,"computer vision, gcp, mlops, statistics, deep learning",Bachelor,0,19-01-2025,07-03-2025,Machine Intelligence Group,Technology,8.7
Machine Learning Engineer,147022,Executive-Level,Contract,SINGAPORE,Small,Fully remote,"sql, pytorch, nlp, docker",PhD,15,03-12-2024,02-01-2025,Neural Networks Co,Manufacturing,8.9
Machine Learning Engineer,144913,Senior-Level,Freelance,FRANCE,Large,Hybrid,"data visualization, git, spark, computer vision",Associate,8,19-04-2025,05-06-2025,Cognitive Computing,Technology,8.9
Ai Specialist,45877,Senior-Level,Full-Time,INDIA,Medium,on-site,"python, docker, gcp",PhD,7,28-08-2024,29-09-2024,Algorithmic Solutions,Automotive,9.7
Principal Data Scientist,33228,Entry-Level,Full-Time,CHINA,Small,Fully remote,"kubernetes, sql, git, statistics",Associate,1,09-06-2024,03-07-2024,Cloud AI Solutions,Media,6.8
Machine Learning Researcher,87357,Mid-Level,Freelance,SOUTH KOREA,Medium,on-site,"mlops, hadoop, nlp, mathematics",Bachelor,2,25-07-2024,09-09-2024,TechCorp Inc,Retail,7.2
Ai Product Manager,57116,Entry-Level,Full-Time,FINLAND,Medium,Fully remote,"nlp, java, spark, kubernetes",PhD,0,16-06-2024,23-08-2024,Smart Analytics,Real Estate,8.4
Machine Learning Engineer,67628,Entry-Level,Contract,UNITED KINGDOM,Large,on-site,"kubernetes, java, r, deep learning",PhD,1,22-04-2024,05-06-2024,Smart Analytics,Transportation,6.2
Ai Specialist,51699,Entry-Level,Part-Time,JAPAN,Small,on-site,"tableau, r, pytorch",Master,0,30-12-2024,06-03-2025,Cloud AI Solutions,Transportation,6.5
Ai Research Scientist,158696,Executive-Level,Part-Time,SWEDEN,Small,on-site,"git, tensorflow, computer vision, linux, python",PhD,16,16-08-2024,28-09-2024,Predictive Systems,Automotive,6.4
Ai Specialist,181010,Executive-Level,Contract,AUSTRIA,Large,Hybrid,"azure, tableau, python",Bachelor,18,13-01-2025,31-01-2025,DeepTech Ventures,Retail,9.6
Ml Ops Engineer,143355,Senior-Level,Freelance,IRELAND,Medium,Fully remote,"python, kubernetes, nlp",Bachelor,8,02-03-2025,09-04-2025,AI Innovations,Manufacturing,8.8
Data Scientist,94621,Mid-Level,Contract,ISRAEL,Medium,Fully remote,"data visualization, git, linux, aws",Master,2,25-09-2024,17-11-2024,Machine Intelligence Group,Consulting,6.1
Data Engineer,50440,Senior-Level,Full-Time,CHINA,Medium,Fully remote,"sql, pytorch, mathematics, git",Associate,6,24-10-2024,17-11-2024,DeepTech Ventures,Real Estate,6.9
Autonomous Systems Engineer,39850,Mid-Level,Contract,CHINA,Large,Hybrid,"sql, computer vision, statistics",Master,4,16-07-2024,30-08-2024,Neural Networks Co,Energy,6.3
Data Analyst,129312,Senior-Level,Contract,FINLAND,Medium,Fully remote,"docker, mlops, python, java, tableau",PhD,9,07-12-2024,11-02-2025,DeepTech Ventures,Real Estate,6.2
Ml Ops Engineer,262770,Executive-Level,Full-Time,FRANCE,Large,Fully remote,"git, mlops, tableau, scala, kubernetes",Bachelor,11,22-01-2025,31-03-2025,Cognitive Computing,Real Estate,9.9
Principal Data Scientist,95183,Mid-Level,Full-Time,JAPAN,Small,Fully remote,"tableau, python, aws, tensorflow, deep learning",Associate,3,23-07-2024,01-09-2024,Smart Analytics,Consulting,9.6
Data Analyst,40242,Mid-Level,Part-Time,INDIA,Large,on-site,"pytorch, azure, tableau, kubernetes, tensorflow",PhD,2,02-07-2024,24-07-2024,Autonomous Tech,Telecommunications,6.8
Machine Learning Researcher,164259,Executive-Level,Full-Time,JAPAN,Small,Fully remote,"docker, kubernetes, nlp, pytorch, tensorflow",Associate,19,05-11-2024,27-11-2024,Advanced Robotics,Gaming,8.8
Machine Learning Engineer,102309,Senior-Level,Full-Time,FINLAND,Medium,Fully remote,"data visualization, nlp, python, hadoop",Master,8,04-03-2024,11-05-2024,Predictive Systems,Education,7.1
Head Of Ai,53973,Entry-Level,Freelance,IRELAND,Small,on-site,"python, tensorflow, mlops",PhD,0,03-02-2025,05-03-2025,Cognitive Computing,Technology,7.2
Ai Product Manager,54973,Senior-Level,Full-Time,INDIA,Large,on-site,"scala, data visualization, azure, pytorch",PhD,7,12-11-2024,08-12-2024,Digital Transformation LLC,Automotive,9.6
Nlp Engineer,187522,Executive-Level,Contract,FINLAND,Small,on-site,"scala, linux, spark, pytorch, mlops",Bachelor,10,27-11-2024,31-12-2024,Future Systems,Media,7.4
Nlp Engineer,57683,Entry-Level,Contract,AUSTRIA,Small,on-site,"r, gcp, mathematics, deep learning",Bachelor,0,04-04-2024,30-04-2024,Cloud AI Solutions,Finance,5.4
Ai Architect,78473,Mid-Level,Freelance,SOUTH KOREA,Large,Hybrid,"kubernetes, deep learning, r, tableau",Bachelor,3,31-07-2024,03-10-2024,DataVision Ltd,Automotive,5.2
Computer Vision Engineer,55008,Entry-Level,Contract,SINGAPORE,Small,Fully remote,"mathematics, azure, computer vision",Bachelor,1,16-12-2024,20-02-2025,TechCorp Inc,Technology,9.6
Computer Vision Engineer,76394,Entry-Level,Freelance,NORWAY,Small,Fully remote,"python, computer vision, sql, docker",PhD,0,16-01-2024,04-03-2024,Smart Analytics,Government,8.2
Ai Research Scientist,102251,Senior-Level,Contract,FINLAND,Medium,Fully remote,"mlops, nlp, r, data visualization",Associate,6,07-01-2025,08-02-2025,Quantum Computing Inc,Government,6.7
Head Of Ai,225096,Executive-Level,Full-Time,IRELAND,Large,Hybrid,"pytorch, aws, tensorflow, mathematics, scala",Master,15,01-05-2024,01-07-2024,DeepTech Ventures,Education,5.7
Principal Data Scientist,204843,Senior-Level,Part-Time,SWITZERLAND,Large,Fully remote,"pytorch, scala, java",PhD,6,06-01-2025,14-02-2025,TechCorp Inc,Finance,7.8
Principal Data Scientist,138580,Senior-Level,Contract,NORWAY,Medium,Hybrid,"r, sql, pytorch",Master,6,09-08-2024,11-10-2024,DeepTech Ventures,Education,6.5
Head Of Ai,85499,Entry-Level,Freelance,NETHERLANDS,Large,Hybrid,"pytorch, tensorflow, hadoop",Associate,1,02-03-2024,27-03-2024,Algorithmic Solutions,Finance,5.8
Machine Learning Researcher,83346,Entry-Level,Contract,SINGAPORE,Medium,Fully remote,"nlp, kubernetes, tensorflow, docker",Master,0,10-04-2024,23-05-2024,DeepTech Ventures,Finance,9.1
Nlp Engineer,115766,Mid-Level,Part-Time,NORWAY,Small,Hybrid,"tableau, sql, azure, pytorch",PhD,2,11-08-2024,17-10-2024,DataVision Ltd,Consulting,7.2
Data Analyst,205113,Senior-Level,Contract,DENMARK,Large,Hybrid,"java, spark, nlp",PhD,7,18-03-2025,17-04-2025,AI Innovations,Gaming,7.7
Ai Software Engineer,160912,Senior-Level,Full-Time,SWEDEN,Large,Fully remote,"git, gcp, hadoop, azure, statistics",PhD,6,27-02-2024,22-04-2024,Predictive Systems,Finance,6
Ai Research Scientist,142229,Senior-Level,Part-Time,FINLAND,Large,Hybrid,"statistics, tableau, computer vision, java, python",Bachelor,6,07-02-2024,19-03-2024,Predictive Systems,Real Estate,6
Deep Learning Engineer,79913,Mid-Level,Full-Time,FINLAND,Small,on-site,"sql, aws, scala",Bachelor,2,21-04-2024,21-05-2024,Digital Transformation LLC,Gaming,5.6
Data Scientist,105268,Mid-Level,Contract,DENMARK,Medium,Fully remote,"kubernetes, gcp, mathematics, computer vision, hadoop",Master,3,25-10-2024,11-12-2024,Neural Networks Co,Telecommunications,6.4
Research Scientist,222239,Executive-Level,Contract,SINGAPORE,Small,Fully remote,"spark, python, r, computer vision",Master,11,22-02-2025,08-03-2025,AI Innovations,Technology,9.6
Computer Vision Engineer,95349,Mid-Level,Part-Time,SWEDEN,Small,Fully remote,"r, statistics, hadoop",Master,3,08-05-2024,18-06-2024,AI Innovations,Telecommunications,7.2
Machine Learning Engineer,276306,Executive-Level,Contract,UNITED STATES,Large,on-site,"tensorflow, r, azure",Associate,13,21-07-2024,08-09-2024,DataVision Ltd,Government,7.6
Head Of Ai,86349,Mid-Level,Freelance,FINLAND,Small,Fully remote,"git, java, computer vision, mathematics, spark",Master,2,24-06-2024,13-08-2024,Autonomous Tech,Transportation,6.4
Ai Product Manager,200534,Executive-Level,Full-Time,UNITED STATES,Small,Hybrid,"linux, kubernetes, python, mathematics",Bachelor,15,22-07-2024,01-09-2024,Autonomous Tech,Manufacturing,7.1
Ml Ops Engineer,130848,Senior-Level,Part-Time,UNITED KINGDOM,Medium,Hybrid,"tableau, spark, python, computer vision",Associate,7,18-11-2024,19-01-2025,Neural Networks Co,Transportation,8.6
Ml Ops Engineer,137574,Senior-Level,Freelance,DENMARK,Medium,Fully remote,"python, mlops, scala",Master,9,05-02-2024,25-03-2024,AI Innovations,Gaming,6
Ai Research Scientist,64547,Mid-Level,Part-Time,FRANCE,Small,Fully remote,"data visualization, sql, statistics",Bachelor,4,06-10-2024,08-11-2024,Cloud AI Solutions,Real Estate,5.6
Ai Specialist,220582,Senior-Level,Freelance,SWITZERLAND,Large,Hybrid,"data visualization, python, hadoop, mlops, tensorflow",Master,9,29-04-2025,30-05-2025,Autonomous Tech,Education,7.7
Machine Learning Engineer,68236,Entry-Level,Contract,FRANCE,Medium,Fully remote,"docker, deep learning, java",Associate,1,04-03-2024,25-04-2024,DeepTech Ventures,Manufacturing,8.7
Machine Learning Engineer,102411,Mid-Level,Full-Time,SWITZERLAND,Small,on-site,"python, sql, linux, azure",Bachelor,3,20-03-2024,10-04-2024,Neural Networks Co,Real Estate,8.1
Data Analyst,98866,Mid-Level,Freelance,JAPAN,Small,Hybrid,"python, mathematics, scala",Master,3,23-04-2025,20-05-2025,DeepTech Ventures,Real Estate,8.7
Ai Research Scientist,71678,Entry-Level,Contract,NORWAY,Small,Hybrid,"java, kubernetes, tensorflow, gcp, spark",Bachelor,0,21-02-2025,23-03-2025,DeepTech Ventures,Education,8.2
Principal Data Scientist,38368,Mid-Level,Part-Time,INDIA,Large,Hybrid,"pytorch, java, docker, kubernetes, gcp",Master,4,16-02-2024,22-04-2024,DataVision Ltd,Finance,9.7
Autonomous Systems Engineer,53056,Entry-Level,Part-Time,GERMANY,Medium,Fully remote,"python, mlops, nlp, tensorflow",Associate,0,27-12-2024,05-02-2025,Predictive Systems,Automotive,6.2
Research Scientist,77960,Mid-Level,Full-Time,FINLAND,Small,Hybrid,"nlp, kubernetes, git",PhD,3,25-08-2024,30-09-2024,DataVision Ltd,Media,5.9
Computer Vision Engineer,137750,Executive-Level,Freelance,ISRAEL,Small,Hybrid,"hadoop, tensorflow, data visualization, mlops",Bachelor,15,13-12-2024,07-01-2025,AI Innovations,Transportation,9.3
Deep Learning Engineer,70399,Entry-Level,Part-Time,FINLAND,Large,on-site,"spark, sql, kubernetes",Master,0,06-06-2024,02-07-2024,TechCorp Inc,Media,5.8
Data Scientist,81497,Executive-Level,Contract,CHINA,Large,Hybrid,"azure, java, computer vision, kubernetes, r",Bachelor,16,17-06-2024,04-08-2024,Future Systems,Gaming,8.5
Autonomous Systems Engineer,97979,Senior-Level,Part-Time,SOUTH KOREA,Large,Hybrid,"sql, scala, hadoop, statistics",Master,5,11-03-2024,04-05-2024,Cloud AI Solutions,Education,5.1
Machine Learning Engineer,74733,Entry-Level,Full-Time,SWITZERLAND,Medium,on-site,"linux, gcp, pytorch",Bachelor,0,07-04-2025,01-06-2025,Neural Networks Co,Retail,9.4
Ai Consultant,34474,Mid-Level,Freelance,INDIA,Small,Fully remote,"scala, nlp, java, r, kubernetes",Associate,3,15-01-2025,05-02-2025,Quantum Computing Inc,Education,7.9
Machine Learning Researcher,138565,Executive-Level,Contract,FRANCE,Small,on-site,"nlp, docker, java",Bachelor,11,07-05-2024,08-06-2024,Digital Transformation LLC,Media,7.8
Head Of Ai,91979,Mid-Level,Freelance,FINLAND,Medium,Fully remote,"sql, computer vision, git, python, azure",Master,4,31-01-2024,17-03-2024,Predictive Systems,Automotive,6.3
Ai Product Manager,156226,Mid-Level,Freelance,SWITZERLAND,Large,Hybrid,"sql, r, python",PhD,3,14-07-2024,15-09-2024,DataVision Ltd,Energy,7.9
Robotics Engineer,220616,Executive-Level,Freelance,SINGAPORE,Small,on-site,"linux, nlp, kubernetes, scala, sql",Master,18,03-04-2024,22-05-2024,Neural Networks Co,Consulting,6.6
Data Engineer,125635,Mid-Level,Freelance,SWITZERLAND,Small,Fully remote,"nlp, python, scala, gcp",Master,2,24-04-2024,25-06-2024,TechCorp Inc,Technology,8.4
Data Scientist,141071,Senior-Level,Freelance,FRANCE,Large,on-site,"spark, azure, sql",PhD,5,09-07-2024,16-08-2024,Advanced Robotics,Education,9.1
Nlp Engineer,77457,Entry-Level,Contract,IRELAND,Medium,on-site,"azure, mathematics, python",Bachelor,1,26-02-2025,26-03-2025,Machine Intelligence Group,Real Estate,6.1
Computer Vision Engineer,81274,Mid-Level,Freelance,AUSTRIA,Large,Fully remote,"docker, aws, gcp, pytorch, scala",Associate,4,25-03-2024,22-04-2024,Neural Networks Co,Energy,6.7
Robotics Engineer,123555,Senior-Level,Full-Time,IRELAND,Small,Hybrid,"tensorflow, git, nlp",Bachelor,7,28-06-2024,29-08-2024,DeepTech Ventures,Finance,6.9
Ai Product Manager,107981,Senior-Level,Part-Time,FINLAND,Medium,Fully remote,"data visualization, python, gcp, mlops, deep learning",Master,9,21-09-2024,28-10-2024,AI Innovations,Finance,5.2
Research Scientist,91339,Entry-Level,Part-Time,SWEDEN,Large,Hybrid,"hadoop, kubernetes, computer vision, tensorflow, gcp",Bachelor,0,25-01-2025,04-04-2025,DataVision Ltd,Finance,7.5
Principal Data Scientist,137460,Mid-Level,Contract,SWITZERLAND,Large,Hybrid,"python, hadoop, git, tensorflow, pytorch",Master,3,19-04-2025,25-05-2025,Neural Networks Co,Healthcare,7.9
Data Scientist,104465,Mid-Level,Part-Time,NORWAY,Medium,on-site,"statistics, git, sql",Bachelor,2,03-10-2024,12-11-2024,Autonomous Tech,Finance,7.7
Robotics Engineer,77385,Mid-Level,Freelance,SWEDEN,Small,Fully remote,"git, gcp, mlops, deep learning, kubernetes",Associate,3,29-02-2024,20-04-2024,Advanced Robotics,Transportation,7.6
Machine Learning Engineer,26283,Entry-Level,Full-Time,CHINA,Small,Hybrid,"python, tensorflow, kubernetes, pytorch",PhD,0,31-03-2025,10-05-2025,Predictive Systems,Energy,8.6
Data Scientist,132539,Senior-Level,Part-Time,DENMARK,Medium,Fully remote,"data visualization, kubernetes, docker",Master,6,04-11-2024,05-12-2024,DeepTech Ventures,Media,10
Ai Product Manager,59940,Entry-Level,Contract,NETHERLANDS,Medium,Fully remote,"python, r, computer vision, git, azure",Bachelor,0,19-01-2025,25-03-2025,AI Innovations,Finance,6.9
Nlp Engineer,276912.875,Executive-Level,Freelance,DENMARK,Medium,Fully remote,"data visualization, tensorflow, python",Bachelor,13,14-05-2024,09-06-2024,Future Systems,Education,6.4
Machine Learning Engineer,117756,Senior-Level,Full-Time,UNITED KINGDOM,Medium,on-site,"tableau, python, azure, statistics, scala",Master,7,06-12-2024,28-01-2025,TechCorp Inc,Real Estate,7.8
Robotics Engineer,95582,Entry-Level,Part-Time,NORWAY,Medium,Hybrid,"tensorflow, statistics, deep learning",Master,0,13-01-2025,11-03-2025,DeepTech Ventures,Education,5
Deep Learning Engineer,152384,Mid-Level,Contract,NORWAY,Large,on-site,"aws, pytorch, linux, gcp, computer vision",Associate,4,23-08-2024,30-09-2024,Machine Intelligence Group,Energy,7.3
Data Engineer,149481,Senior-Level,Contract,DENMARK,Small,on-site,"mlops, tableau, hadoop, sql, r",Master,7,31-05-2024,10-08-2024,DataVision Ltd,Automotive,5.9
Robotics Engineer,133014,Mid-Level,Full-Time,SWITZERLAND,Medium,on-site,"hadoop, scala, data visualization, pytorch",Bachelor,4,24-04-2024,20-05-2024,Autonomous Tech,Media,6.1
Computer Vision Engineer,80242,Mid-Level,Full-Time,SINGAPORE,Medium,Fully remote,"sql, linux, python, aws",Master,3,12-04-2024,01-06-2024,Future Systems,Real Estate,7
Ai Product Manager,71080,Entry-Level,Freelance,UNITED STATES,Medium,Fully remote,"aws, kubernetes, tensorflow",Bachelor,1,04-03-2024,18-04-2024,Neural Networks Co,Energy,8.4
Robotics Engineer,158297,Executive-Level,Full-Time,SWEDEN,Medium,Fully remote,"mlops, r, python",PhD,16,14-04-2024,08-06-2024,DataVision Ltd,Finance,6.1
Computer Vision Engineer,64920,Entry-Level,Freelance,AUSTRALIA,Medium,Hybrid,"deep learning, linux, spark, gcp",Bachelor,1,24-02-2024,02-04-2024,DeepTech Ventures,Retail,8.3
Ai Research Scientist,82287,Senior-Level,Full-Time,SOUTH KOREA,Small,on-site,"kubernetes, tensorflow, deep learning",Master,5,23-08-2024,20-09-2024,DataVision Ltd,Energy,9.3
Data Analyst,108508,Mid-Level,Full-Time,FINLAND,Large,Hybrid,"python, gcp, nlp, spark",PhD,2,04-04-2025,09-06-2025,DeepTech Ventures,Energy,9.3
Data Analyst,86007,Mid-Level,Part-Time,AUSTRALIA,Medium,Hybrid,"spark, docker, data visualization",Associate,3,25-07-2024,17-09-2024,DeepTech Ventures,Media,9.4
Principal Data Scientist,157752,Senior-Level,Contract,DENMARK,Medium,Hybrid,"r, scala, pytorch, mathematics",Master,9,09-08-2024,10-10-2024,Algorithmic Solutions,Real Estate,5.6
Autonomous Systems Engineer,91594,Mid-Level,Freelance,FINLAND,Medium,on-site,"git, hadoop, mlops",Bachelor,3,10-05-2024,11-06-2024,Predictive Systems,Finance,6.4
Autonomous Systems Engineer,74217,Mid-Level,Freelance,FINLAND,Medium,Hybrid,"gcp, tableau, hadoop",PhD,2,22-02-2024,09-04-2024,TechCorp Inc,Manufacturing,5.6
Ai Research Scientist,276912.875,Executive-Level,Contract,UNITED KINGDOM,Large,Hybrid,"linux, java, data visualization",Bachelor,15,29-11-2024,28-01-2025,AI Innovations,Consulting,6.4
Ai Software Engineer,163958,Executive-Level,Full-Time,SOUTH KOREA,Large,Hybrid,"scala, pytorch, data visualization, mlops",PhD,13,03-11-2024,23-11-2024,TechCorp Inc,Manufacturing,8
Ml Ops Engineer,62034,Entry-Level,Part-Time,CANADA,Small,on-site,"linux, sql, docker, pytorch, deep learning",Associate,1,27-01-2025,18-02-2025,Advanced Robotics,Real Estate,9.4
Ai Software Engineer,166512,Executive-Level,Full-Time,CANADA,Small,on-site,"python, java, computer vision",Master,10,19-02-2024,24-04-2024,Future Systems,Consulting,8.8
Ai Product Manager,209138,Executive-Level,Part-Time,IRELAND,Large,Fully remote,"python, spark, mlops",Associate,10,17-12-2024,05-02-2025,DataVision Ltd,Telecommunications,8.5
Ai Product Manager,149550,Senior-Level,Part-Time,UNITED STATES,Small,Fully remote,"computer vision, pytorch, spark",PhD,7,13-08-2024,02-09-2024,Machine Intelligence Group,Technology,6.8
Ml Ops Engineer,162213,Executive-Level,Full-Time,GERMANY,Medium,Hybrid,"r, kubernetes, docker, tableau, tensorflow",Bachelor,14,14-06-2024,01-08-2024,Smart Analytics,Government,6
Robotics Engineer,179531,Executive-Level,Contract,NORWAY,Medium,Hybrid,"kubernetes, deep learning, computer vision, java",Bachelor,14,09-06-2024,15-08-2024,Algorithmic Solutions,Manufacturing,7.2
Data Analyst,206536,Executive-Level,Freelance,SOUTH KOREA,Medium,Hybrid,"linux, python, git, tensorflow",PhD,12,21-01-2024,10-02-2024,DataVision Ltd,Healthcare,5.6
